Fonte,Ano,Cap_Inst
Usinas Hidrelétricas,2013,81132
PCH,2013,4620
CGH,2013,266
Gás Natural,2013,12300
Derivados de Petróleo,2013,7515
Carvão,2013,3389
Usinas Nucleares,2013,1990
Biomassa,2013,11449
Usinas Eólicas,2013,2202
Solar,2013,5
Outras,2013,1874
Usinas Hidrelétricas,2014,84095
PCH,2014,4790
CGH,2014,308
Gás Natural,2014,12550
Derivados de Petróleo,2014,7888
Carvão,2014,3389
Usinas Nucleares,2014,1990
Biomassa,2014,12183
Usinas Eólicas,2014,4888
Solar,2014,15
Outras,2014,1816
Usinas Hidrelétricas,2015,86366
PCH,2015,4886
CGH,2015,398
Gás Natural,2015,12428
Derivados de Petróleo,2015,8828
Carvão,2015,3389
Usinas Nucleares,2015,1990
Biomassa,2015,13069
Usinas Eólicas,2015,7633
Solar,2015,21
Outras,2015,1850
Usinas Hidrelétricas,2016,91499
PCH,2016,4941
CGH,2016,484
Gás Natural,2016,12965
Derivados de Petróleo,2016,8845
Carvão,2016,3389
Usinas Nucleares,2016,1990
Biomassa,2016,13913
Usinas Eólicas,2016,10124
Solar,2016,24
Outras,2016,2163
Usinas Hidrelétricas,2017,94662
PCH,2017,5020
CGH,2017,594
Gás Natural,2017,12980
Derivados de Petróleo,2017,8792
Carvão,2017,3324
Usinas Nucleares,2017,1990
Biomassa,2017,14289
Usinas Eólicas,2017,12283
Solar,2017,935
Outras,2017,2243
Usinas Hidrelétricas,2018,98287
PCH,2018,5157
CGH,2018,695
Gás Natural,2018,13359
Derivados de Petróleo,2018,7549
Carvão,2018,2858
Usinas Nucleares,2018,1990
Biomassa,2018,14569
Usinas Eólicas,2018,14390
Solar,2018,1798
Outras,2018,2188
Usinas Hidrelétricas,2019,102999
PCH,2019,5291
CGH,2019,768
Gás Natural,2019,13385
Derivados de Petróleo,2019,7670
Carvão,2019,3228
Usinas Nucleares,2019,1990
Biomassa,2019,14703
Usinas Eólicas,2019,15378
Solar,2019,2473
Outras,2019,2234
Usinas Hidrelétricas,2020,103027
PCH,2020,5429
CGH,2020,816
Gás Natural,2020,14927
Derivados de Petróleo,2020,7696
Carvão,2020,3203
Usinas Nucleares,2020,1990
Biomassa,2020,15011
Usinas Eólicas,2020,17131
Solar,2020,3287
Outras,2020,2221
Usinas Hidrelétricas,2021,103003
PCH,2021,5513
CGH,2021,834
Gás Natural,2021,16219
Derivados de Petróleo,2021,7663
Carvão,2021,3203
Usinas Nucleares,2021,1990
Biomassa,2021,15583
Usinas Eólicas,2021,20771
Solar,2021,4632
Outras,2021,2199
Usinas Hidrelétricas,2022,103195
PCH,2022,5662
CGH,2022,863
Gás Natural,2022,17437
Derivados de Petróleo,2022,7185
Carvão,2022,3203
Usinas Nucleares,2022,1990
Biomassa,2022,16245
Usinas Eólicas,2022,23744
Solar,2022,7387
Outras,2022,2214
