Fonte,Ano_referencia,MW
Eólica,2022,23624
Hidráulica,2022,109056
Nuclear,2022,1990
Solar,2022,7186
Térmica,2022,40325
Eólica,2023,28521
Hidráulica,2023,109275
MMGD,2023,22370
Nuclear,2023,1990
Solar,2023,10623
Térmica,2023,40446
Eólica,2024,32308
Hidráulica,2024,109386
MMGD,2024,22370
Nuclear,2024,1990
Solar,2024,14857
Térmica,2024,41113
Eólica,2025,33849
Hidráulica,2025,109647
MMGD,2025,22370
Nuclear,2025,1990
Solar,2025,15937
Térmica,2025,44026
Eólica,2026,33992
Hidráulica,2026,109749
MMGD,2026,22370
Nuclear,2026,1990
Solar,2026,17686
Térmica,2026,45461
Eólica,2027,33992
Hidráulica,2027,109899
MMGD,2027,22370
Nuclear,2027,1990
Solar,2027,17786
Térmica,2027,46250
