Ano,Tecnologia,Geração
2007,Eólica,64
2008,Eólica,63
2009,Eólica,81
2010,Eólica,165
2011,Eólica,217
2012,Eólica,361
2013,Eólica,478
2014,Eólica,1135
2015,Eólica,2501
2016,Eólica,3809
2017,Eólica,4833
2018,Eólica,5530
2019,Eólica,6385
2020,Eólica,6488
2021,Eólica,8241
2022,Eólica,9312
2023,Eólica,9313
2000,Hidrelétrica,39068
2001,Hidrelétrica,33947
2002,Hidrelétrica,36667
2003,Hidrelétrica,39362
2004,Hidrelétrica,41031
2005,Hidrelétrica,43390
2006,Hidrelétrica,44783
2007,Hidrelétrica,47481
2008,Hidrelétrica,46143
2009,Hidrelétrica,48335
2010,Hidrelétrica,49156
2011,Hidrelétrica,52193
2012,Hidrelétrica,51212
2013,Hidrelétrica,47869
2014,Hidrelétrica,45416
2015,Hidrelétrica,44579
2016,Hidrelétrica,47473
2017,Hidrelétrica,45825
2018,Hidrelétrica,47746
2019,Hidrelétrica,47771
2020,Hidrelétrica,47332
2021,Hidrelétrica,43154
2022,Hidrelétrica,50367
2023,Hidrelétrica,53753
2001,Nuclear,1638
2002,Nuclear,1580
2003,Nuclear,1523
2004,Nuclear,1319
2005,Nuclear,1125
2006,Nuclear,1570
2007,Nuclear,1410
2008,Nuclear,1592
2009,Nuclear,1479
2010,Nuclear,1658
2011,Nuclear,1788
2012,Nuclear,1826
2013,Nuclear,1670
2014,Nuclear,1758
2015,Nuclear,1690
2016,Nuclear,1806
2017,Nuclear,1797
2018,Nuclear,1789
2019,Nuclear,1841
2020,Nuclear,1600
2021,Nuclear,1679
2022,Nuclear,1662
2023,Nuclear,1903
1999,Nuclear,1903
2016,Solar,3
2017,Solar,74
2018,Solar,333
2019,Solar,568
2020,Solar,679
2021,Solar,877
2022,Solar,1439
2023,Solar,3173
2000,Biomassa,15
2001,Biomassa,7
2002,Biomassa,3
2003,Biomassa,0
2004,Biomassa,1
2005,Biomassa,0
2006,Biomassa,3
2008,Biomassa,20
2009,Biomassa,38
2010,Biomassa,53
2011,Biomassa,36
2012,Biomassa,179
2013,Biomassa,404
2014,Biomassa,524
2015,Biomassa,2497
2016,Biomassa,2577
2017,Biomassa,2624
2018,Biomassa,2637
2019,Biomassa,2756
2020,Biomassa,2780
2021,Biomassa,2569
2022,Biomassa,2499
2023,Biomassa,1936
2007,Biomassa,6
2000,Carvão,843
2001,Carvão,706
2002,Carvão,575
2003,Carvão,598
2004,Carvão,722
2005,Carvão,697
2006,Carvão,763
2007,Carvão,708
2008,Carvão,714
2009,Carvão,593
2010,Carvão,699
2011,Carvão,648
2012,Carvão,876
2013,Carvão,1616
2014,Carvão,1984
2015,Carvão,2053
2016,Carvão,1787
2017,Carvão,1718
2018,Carvão,1461
2019,Carvão,1592
2020,Carvão,1247
2021,Carvão,1886
2022,Carvão,798
2023,Carvão,747
2000,Gás,748
2001,Gás,1402
2002,Gás,1355
2003,Gás,1061
2004,Gás,1485
2005,Gás,1467
2006,Gás,1366
2007,Gás,1155
2008,Gás,2675
2009,Gás,894
2010,Gás,2859
2011,Gás,1608
2012,Gás,3858
2013,Gás,6449
2014,Gás,8112
2015,Gás,8038
2016,Gás,5159
2017,Gás,6057
2018,Gás,4786
2019,Gás,5161
2020,Gás,4729
2021,Gás,7655
2022,Gás,2722
2023,Gás,2004
2014,Gás Natural,228
2015,Gás Natural,8
2016,Gás Natural,89
2017,Gás Natural,69
2018,Gás Natural,44
2019,Gás Natural,0
2020,Gás Natural,0
2021,Gás Natural,0
2022,Gás Natural,0
2023,Gás Natural,0
2000,Óleo Combustível,126
2001,Óleo Combustível,133
2002,Óleo Combustível,57
2003,Óleo Combustível,67
2004,Óleo Combustível,155
2005,Óleo Combustível,58
2006,Óleo Combustível,99
2007,Óleo Combustível,76
2008,Óleo Combustível,284
2009,Óleo Combustível,50
2010,Óleo Combustível,163
2011,Óleo Combustível,20
2012,Óleo Combustível,540
2013,Óleo Combustível,1320
2014,Óleo Combustível,2228
2015,Óleo Combustível,1673
2016,Óleo Combustível,705
2017,Óleo Combustível,901
2018,Óleo Combustível,507
2019,Óleo Combustível,295
2020,Óleo Combustível,235
2021,Óleo Combustível,1147
2022,Óleo Combustível,67
2023,Óleo Combustível,45
