Regiao,Ano,Cons_Med_Tot
Regiões geográficas,2013,516
Norte,2013,559
Nordeste,2013,338
Sudeste,2013,595
Sul,2013,595
Centro-Oeste,2013,472
Regiões geográficas,2014,513
Norte,2014,568
Nordeste,2014,331
Sudeste,2014,586
Sul,2014,609
Centro-Oeste,2014,477
Regiões geográficas,2015,491
Norte,2015,567
Nordeste,2015,316
Sudeste,2015,558
Sul,2015,578
Centro-Oeste,2015,470
Regiões geográficas,2016,477
Norte,2016,552
Nordeste,2016,309
Sudeste,2016,539
Sul,2016,571
Centro-Oeste,2016,459
Regiões geográficas,2017,472
Norte,2017,532
Nordeste,2017,304
Sudeste,2017,531
Sul,2017,576
Centro-Oeste,2017,460
Regiões geográficas,2018,474
Norte,2018,491
Nordeste,2018,303
Sudeste,2018,539
Sul,2018,579
Centro-Oeste,2018,469
Regiões geográficas,2019,473
Norte,2019,491
Nordeste,2019,306
Sudeste,2019,534
Sul,2019,580
Centro-Oeste,2019,477
Regiões geográficas,2020,458
Norte,2020,499
Nordeste,2020,293
Sudeste,2020,512
Sul,2020,569
Centro-Oeste,2020,471
Regiões geográficas,2021,477
Norte,2021,529
Nordeste,2021,305
Sudeste,2021,539
Sul,2021,594
Centro-Oeste,2021,467
Regiões geográficas,2022,469
Norte,2022,536
Nordeste,2022,302
Sudeste,2022,523
Sul,2022,582
Centro-Oeste,2022,466
