Pais,Ano,Geracao
China,2012,41
Estados Unidos,2012,71
Brasil,2012,35
Alemanha,2012,50
Reino Unido,2012,17
Índia,2012,21
Japão,2012,13
Tailândia,2012,4
Itália,2012,15
Coreia do Sul,2012,2
China,2013,49
Estados Unidos,2013,74
Brasil,2013,40
Alemanha,2013,52
Reino Unido,2013,20
Índia,2013,23
Japão,2013,14
Tailândia,2013,7
Itália,2013,19
Coreia do Sul,2013,2
China,2014,57
Estados Unidos,2014,77
Brasil,2014,46
Alemanha,2014,56
Reino Unido,2014,25
Índia,2014,28
Japão,2014,15
Tailândia,2014,7
Itália,2014,21
Coreia do Sul,2014,2
China,2015,64
Estados Unidos,2015,78
Brasil,2015,49
Alemanha,2015,57
Reino Unido,2015,34
Índia,2015,26
Japão,2015,16
Tailândia,2015,7
Itália,2015,22
Coreia do Sul,2015,3
China,2016,76
Estados Unidos,2016,76
Brasil,2016,51
Alemanha,2016,58
Reino Unido,2016,35
Índia,2016,26
Japão,2016,18
Tailândia,2016,18
Itália,2016,22
Coreia do Sul,2016,6
China,2017,93
Estados Unidos,2017,76
Brasil,2017,51
Alemanha,2017,58
Reino Unido,2017,36
Índia,2017,33
Japão,2017,20
Tailândia,2017,15
Itália,2017,22
Coreia do Sul,2017,7
China,2018,103
Estados Unidos,2018,75
Brasil,2018,54
Alemanha,2018,58
Reino Unido,2018,39
Índia,2018,32
Japão,2018,21
Tailândia,2018,16
Itália,2018,22
Coreia do Sul,2018,8
China,2019,121
Estados Unidos,2019,71
Brasil,2019,54
Alemanha,2019,57
Reino Unido,2019,42
Índia,2019,33
Japão,2019,27
Tailândia,2019,18
Itália,2019,22
Coreia do Sul,2019,9
China,2020,124
Estados Unidos,2020,68
Brasil,2020,58
Alemanha,2020,57
Reino Unido,2020,45
Índia,2020,33
Japão,2020,28
Tailândia,2020,17
Itália,2020,22
Coreia do Sul,2020,9
China,2021,136
Estados Unidos,2021,68
Brasil,2021,55
Alemanha,2021,50
Reino Unido,2021,39
Índia,2021,30
Japão,2021,27
Tailândia,2021,20
Itália,2021,19
Coreia do Sul,2021,17
