pais,val_cons,ano
Canadá,105400,2013
Canadá,109800,2014
Canadá,110300,2015
Canadá,105200,2016
Canadá,109800,2017
Canadá,116200,2018
Canadá,116900,2019
Canadá,113600,2020
Canadá,117000,2021
Canadá,122000,2022
Estados Unidos,707000,2013
Estados Unidos,722300,2014
Estados Unidos,743600,2015
Estados Unidos,749100,2016
Estados Unidos,740000,2017
Estados Unidos,822000,2018
Estados Unidos,851000,2019
Estados Unidos,832900,2020
Estados Unidos,835800,2021
Estados Unidos,881000,2022
México,77800,2013
México,78800,2014
México,80800,2015
México,83000,2016
México,86000,2017
México,90300,2018
México,93400,2019
México,94500,2020
México,97300,2021
México,97000,2022
Brasil,38400,2013
Brasil,40700,2014
Brasil,42900,2015
Brasil,37100,2016
Brasil,37600,2017
Brasil,35900,2018
Brasil,35700,2019
Brasil,31400,2020
Brasil,40400,2021
Brasil,32000,2022
Alemanha,85000,2013
Alemanha,73900,2014
Alemanha,77000,2015
Alemanha,84900,2016
Alemanha,87700,2017
Alemanha,85900,2018
Alemanha,89300,2019
Alemanha,87100,2020
Alemanha,91700,2021
Alemanha,77000,2022
Reino Unido,76300,2013
Reino Unido,70100,2014
Reino Unido,72000,2015
Reino Unido,80700,2016
Reino Unido,78500,2017
Reino Unido,78600,2018
Reino Unido,77700,2019
Reino Unido,73100,2020
Reino Unido,77800,2021
Reino Unido,72000,2022
Rússia,424900,2013
Rússia,422200,2014
Rússia,408700,2015
Rússia,420600,2016
Rússia,431100,2017
Rússia,454500,2018
Rússia,444300,2019
Rússia,423500,2020
Rússia,474600,2021
Rússia,408000,2022
Arábia Saudita,95000,2013
Arábia Saudita,97300,2014
Arábia Saudita,99200,2015
Arábia Saudita,105300,2016
Arábia Saudita,109300,2017
Arábia Saudita,112100,2018
Arábia Saudita,111200,2019
Arábia Saudita,113100,2020
Arábia Saudita,114500,2021
Arábia Saudita,120000,2022
Irã,153800,2013
Irã,173400,2014
Irã,184000,2015
Irã,196300,2016
Irã,205000,2017
Irã,212600,2018
Irã,218400,2019
Irã,236800,2020
Irã,236500,2021
Irã,229000,2022
China,171900,2013
China,188400,2014
China,194700,2015
China,209400,2016
China,241300,2017
China,283900,2018
China,308400,2019
China,336600,2020
China,380300,2021
China,376000,2022
Japão,123500,2013
Japão,124800,2014
Japão,118700,2015
Japão,116400,2016
Japão,117000,2017
Japão,115700,2018
Japão,108100,2019
Japão,104100,2020
Japão,103600,2021
Japão,100000,2022
