Subsistema,Ano,Cons_Med_Res
Subsistemas Elétricos,2013,163
Sistemas Isolados,2013,258
Norte,2013,123
Nordeste,2013,118
Sudeste/Centro-Oeste,2013,181
Sul,2013,182
Subsistemas Elétricos,2014,167
Sistemas Isolados,2014,201
Norte,2014,145
Nordeste,2014,121
Sudeste/Centro-Oeste,2014,183
Sul,2014,190
Subsistemas Elétricos,2015,161
Sistemas Isolados,2015,221
Norte,2015,149
Nordeste,2015,121
Sudeste/Centro-Oeste,2015,176
Sul,2015,177
Subsistemas Elétricos,2016,160
Sistemas Isolados,2016,190
Norte,2016,155
Nordeste,2016,121
Sudeste/Centro-Oeste,2016,173
Sul,2016,177
Subsistemas Elétricos,2017,158
Sistemas Isolados,2017,183
Norte,2017,148
Nordeste,2017,119
Sudeste/Centro-Oeste,2017,171
Sul,2017,177
Subsistemas Elétricos,2018,159
Sistemas Isolados,2018,179
Norte,2018,143
Nordeste,2018,121
Sudeste/Centro-Oeste,2018,173
Sul,2018,179
Subsistemas Elétricos,2019,162
Sistemas Isolados,2019,180
Norte,2019,142
Nordeste,2019,124
Sudeste/Centro-Oeste,2019,176
Sul,2019,182
Subsistemas Elétricos,2020,165
Sistemas Isolados,2020,188
Norte,2020,151
Nordeste,2020,128
Sudeste/Centro-Oeste,2020,177
Sul,2020,186
Subsistemas Elétricos,2021,166
Sistemas Isolados,2021,206
Norte,2021,156
Nordeste,2021,130
Sudeste/Centro-Oeste,2021,178
Sul,2021,185
Subsistemas Elétricos,2022,161
Sistemas Isolados,2022,205
Norte,2022,158
Nordeste,2022,122
Sudeste/Centro-Oeste,2022,172
Sul,2022,187
