Subsistema,Ano,Cons_Med_Tot
Subsistemas Elétricos,2013,515.88
Sistemas Isolados,2013,529.85
Norte,2013,530.59
Nordeste,2013,327.09
Sudeste/Centro-Oeste,2013,573.97
Sul,2013,594.66
Subsistemas Elétricos,2014,512.74
Sistemas Isolados,2014,328.34
Norte,2014,531.84
Nordeste,2014,331.24
Sudeste/Centro-Oeste,2014,567.22
Sul,2014,609.24
Subsistemas Elétricos,2015,490.59
Sistemas Isolados,2015,353.18
Norte,2015,492.8
Nordeste,2015,322.59
Sudeste/Centro-Oeste,2015,542.68
Sul,2015,577.85
Subsistemas Elétricos,2016,477.3
Sistemas Isolados,2016,300.28
Norte,2016,481.77
Nordeste,2016,317.61
Sudeste/Centro-Oeste,2016,524.93
Sul,2016,570.99
Subsistemas Elétricos,2017,472.09
Sistemas Isolados,2017,292.09
Norte,2017,463.78
Nordeste,2017,312.74
Sudeste/Centro-Oeste,2017,518.22
Sul,2017,575.89
Subsistemas Elétricos,2018,473.78
Sistemas Isolados,2018,286.74
Norte,2018,429.81
Nordeste,2018,311.12
Sudeste/Centro-Oeste,2018,526.05
Sul,2018,579.34
Subsistemas Elétricos,2019,472.67
Sistemas Isolados,2019,294.42
Norte,2019,429.31
Nordeste,2019,313.13
Sudeste/Centro-Oeste,2019,523.18
Sul,2019,580.44
Subsistemas Elétricos,2020,458.25
Sistemas Isolados,2020,295.7
Norte,2020,442.63
Nordeste,2020,299.06
Sudeste/Centro-Oeste,2020,503.36
Sul,2020,568.85
Subsistemas Elétricos,2021,476.65
Sistemas Isolados,2021,324.52
Norte,2021,463.79
Nordeste,2021,310.86
Sudeste/Centro-Oeste,2021,524.97
Sul,2021,593.67
Subsistemas Elétricos,2022,468.64
Sistemas Isolados,2022,337.55
Norte,2022,482.72
Nordeste,2022,301.98
Sudeste/Centro-Oeste,2022,512.02
Sul,2022,581.99
