Subsistema,Ano,Emissoes
SIN,2013,52830
Autoprodução,2013,14440
Sistema Isolado,2013,7510
SIN,2014,71000
Autoprodução,2014,15770
Sistema Isolado,2014,7300
SIN,2015,68960
Autoprodução,2015,16830
Sistema Isolado,2015,4200
SIN,2016,45350
Autoprodução,2016,16990
Sistema Isolado,2016,2370
SIN,2017,43140
Autoprodução,2017,17180
Sistema Isolado,2017,1110
SIN,2018,33680
Autoprodução,2018,17040
Sistema Isolado,2018,1950
SIN,2019,33580
Autoprodução,2019,17040
Sistema Isolado,2019,4220
SIN,2020,30020
Autoprodução,2020,21080
Sistema Isolado,2020,2580
SIN,2021,54640
Autoprodução,2021,20900
Sistema Isolado,2021,2270
SIN,2022,21610
Autoprodução,2022,20260
Sistema Isolado,2022,2460
