Fonte,Ano,Emissoes
Óleo Diesel,2013,4.8
Gás Natural,2013,1.77
Óleo Leve PTE,2013,0.04
Óleo PGE,2013,0.35
Óleo combustível,2013,0.56
Óleo Diesel,2014,0.42
Gás Natural,2014,0.05
Óleo Leve PTE,2014,4.69
Óleo PGE,2014,2.0
Óleo combustível,2014,0.14
Óleo Diesel,2015,0.11
Gás Natural,2015,0.02
Óleo Leve PTE,2015,3.08
Óleo PGE,2015,0.93
Óleo combustível,2015,0.06
Óleo Diesel,2016,0.0
Gás Natural,2016,0.0
Óleo Leve PTE,2016,2.35
Óleo PGE,2016,0.02
Óleo combustível,2016,0.0
Óleo Diesel,2017,0.0
Gás Natural,2017,0.0
Óleo Leve PTE,2017,1.11
Óleo PGE,2017,0.0
Óleo combustível,2017,0.0
Óleo Diesel,2018,0.0
Gás Natural,2018,0.0
Óleo Leve PTE,2018,1.92
Óleo PGE,2018,0.03
Óleo combustível,2018,0.0
Óleo Diesel,2019,0.0
Gás Natural,2019,0.0
Óleo Leve PTE,2019,2.97
Óleo PGE,2019,1.25
Óleo combustível,2019,0.0
Óleo Diesel,2020,2.51
Gás Natural,2020,0.06
Óleo Leve PTE,2020,0.0
Óleo PGE,2020,0.0
Óleo combustível,2020,0.0
Óleo Diesel,2021,2.19
Gás Natural,2021,0.08
Óleo Leve PTE,2021,0.0
Óleo PGE,2021,0.0
Óleo combustível,2021,0.0
Óleo Diesel,2022,2.16
Gás Natural,2022,0.3
Óleo Leve PTE,2022,0.0
Óleo PGE,2022,0.0
Óleo combustível,2022,0.0
